iter	MultiClass
0	0.9966442349
1	0.9266217621
2	0.861223849
3	0.8050871004
4	0.7550506845
5	0.7159431505
6	0.6821742693
7	0.6527065081
8	0.6243923225
9	0.5934486429
10	0.5691954427
11	0.5465256844
12	0.5277437206
13	0.5121869736
14	0.4960730877
15	0.4819893552
16	0.4668856315
17	0.4549483204
18	0.4417861961
19	0.4323967381
20	0.4232877386
21	0.4148372934
22	0.4078563097
23	0.4004619736
24	0.3934984816
25	0.387299721
26	0.3823132815
27	0.3761477637
28	0.371409228
29	0.3671585389
30	0.3630068788
31	0.3590996785
32	0.3540829663
33	0.3509517498
34	0.3465288875
35	0.3419906637
36	0.3385572993
37	0.33573551
38	0.3335192038
39	0.3306632679
40	0.3291196889
41	0.3258604486
42	0.3235994759
43	0.3226922775
44	0.3201386154
45	0.3187601943
46	0.3161938571
47	0.3146122918
48	0.3129144731
49	0.3110238116
50	0.3086820242
51	0.3078939645
52	0.3068667992
53	0.3055465848
54	0.3036168285
55	0.3017742608
56	0.2999476727
57	0.2985840208
58	0.2971425348
59	0.2959850058
60	0.2943122907
61	0.2926085328
62	0.2917386397
63	0.2906118708
64	0.2895250563
65	0.2885002223
66	0.2877060009
67	0.2865681789
68	0.2853423763
69	0.2842400483
70	0.2830737532
71	0.2824892667
72	0.2819290088
73	0.2811913843
74	0.2800086081
75	0.2791027953
76	0.2784513408
77	0.2773678426
78	0.276268403
79	0.2757467609
80	0.275157131
81	0.2743595615
82	0.2737599538
83	0.2729032007
84	0.2718788021
85	0.2710906949
86	0.2706621663
87	0.2701083241
88	0.2692405642
89	0.2683262184
90	0.2676518426
91	0.2667511676
92	0.2661818289
93	0.2652770646
94	0.264456195
95	0.2639379089
96	0.2631740813
97	0.262856838
98	0.262364963
99	0.2616423627
100	0.2606005514
101	0.2597844518
102	0.2588295003
103	0.2581537684
104	0.2572650804
105	0.2564975145
106	0.2557051941
107	0.2552544272
108	0.2546108699
109	0.2540758787
110	0.2534879121
111	0.2528622536
112	0.2523853201
113	0.2518955499
114	0.2515453476
115	0.2512662858
116	0.2502093598
117	0.2493265227
118	0.2489478662
119	0.2479384015
120	0.2473508872
121	0.2466960454
122	0.2462024188
123	0.245705817
124	0.2451183354
125	0.2445373276
126	0.2439183425
127	0.243057591
128	0.2420954902
129	0.2417274962
130	0.2414165082
131	0.2408915141
132	0.2404396852
133	0.2398923982
134	0.2395442153
135	0.2392241041
136	0.2387727076
137	0.2382388333
138	0.237605149
139	0.237127338
140	0.2365593007
141	0.2357268385
142	0.2354119673
143	0.2349045983
144	0.2343246608
145	0.2339707535
146	0.2335910638
147	0.2329636045
148	0.2324460274
149	0.2320186055
150	0.231335401
151	0.2309298646
152	0.2305028134
153	0.2300786951
154	0.2296300443
155	0.2292795361
156	0.2288141003
157	0.2281405102
158	0.2275456546
159	0.2268897826
160	0.226639336
161	0.2261989652
162	0.2257216417
163	0.2253349676
164	0.2246358464
165	0.2241617764
166	0.2236231335
167	0.2230681647
168	0.2225128973
169	0.2220091785
170	0.2216392493
171	0.2210734928
172	0.2207509081
173	0.2204657494
174	0.2199542273
175	0.2194949633
176	0.2190204472
177	0.2187992484
178	0.218328198
179	0.2179279209
180	0.2174446994
181	0.2169250094
182	0.2166036808
183	0.21610237
184	0.215738364
185	0.2150349409
186	0.2141263972
187	0.213716963
188	0.2135162955
189	0.2131530581
190	0.212792829
191	0.2121980351
192	0.2116920662
193	0.2114029312
194	0.2109955892
195	0.2104479759
196	0.2101249802
197	0.2096220389
198	0.2093997504
199	0.2088452666
200	0.2084914733
201	0.207884956
202	0.2075057634
203	0.2071711733
204	0.2066077457
205	0.2062212564
206	0.20587007
207	0.2055595216
208	0.2052817665
209	0.2044463179
210	0.2040312423
211	0.2037526912
212	0.2035480835
213	0.2032161707
214	0.2027281753
215	0.2023522785
