iter	Passed	Remaining
0	2	2757
1	6	3046
2	9	3191
3	12	3224
4	15	3043
5	18	3080
6	22	3154
7	25	3123
8	28	3151
9	32	3251
10	35	3227
11	38	3138
12	41	3153
13	44	3141
14	47	3124
15	51	3152
16	54	3145
17	57	3147
18	61	3164
19	65	3199
20	68	3203
21	71	3199
22	75	3203
23	78	3190
24	81	3193
25	85	3213
26	89	3225
27	92	3221
28	96	3243
29	100	3252
30	103	3246
31	107	3250
32	111	3256
33	115	3271
34	118	3266
35	121	3260
36	125	3259
37	129	3267
38	132	3268
39	136	3264
40	139	3262
41	142	3258
42	145	3242
43	149	3238
44	152	3231
45	155	3231
46	159	3227
47	162	3225
48	165	3220
49	169	3216
50	172	3212
51	176	3214
52	181	3236
53	184	3237
54	188	3239
55	192	3239
56	195	3236
57	198	3228
58	202	3226
59	206	3227
60	209	3220
61	212	3214
62	214	3186
63	217	3186
64	221	3183
65	225	3196
66	229	3194
67	232	3189
68	236	3190
69	240	3189
70	243	3183
71	246	3180
72	249	3174
73	253	3169
74	256	3161
75	260	3162
76	263	3153
77	266	3146
78	269	3145
79	273	3140
80	276	3140
81	280	3135
82	283	3131
83	286	3125
84	290	3124
85	293	3116
86	296	3115
87	300	3112
88	303	3106
89	307	3108
90	311	3107
91	314	3099
92	317	3098
93	321	3101
94	325	3099
95	329	3100
96	333	3105
97	337	3105
98	341	3104
99	345	3105
100	348	3101
101	351	3097
102	356	3101
103	360	3104
104	364	3104
105	367	3102
106	371	3100
107	375	3099
108	378	3097
109	382	3094
110	385	3086
111	388	3082
112	392	3079
113	395	3074
114	398	3066
115	401	3062
116	405	3061
117	409	3057
118	411	3048
119	415	3044
120	418	3039
121	421	3032
122	424	3028
123	428	3024
124	431	3017
125	434	3012
126	437	3009
127	441	3006
128	444	3002
129	447	2998
130	451	2997
131	455	2995
132	459	2992
133	462	2990
134	465	2985
135	469	2982
136	472	2978
137	476	2973
138	479	2968
139	482	2961
140	485	2959
141	489	2956
142	492	2953
143	496	2950
144	499	2946
145	502	2941
146	505	2935
147	509	2932
148	512	2929
149	516	2926
150	519	2921
151	522	2916
152	526	2916
153	530	2913
154	533	2908
155	536	2904
156	540	2903
157	543	2898
158	547	2894
159	550	2891
160	553	2885
161	556	2880
162	560	2876
163	563	2874
164	567	2872
165	571	2871
166	576	2874
167	583	2889
168	587	2889
169	591	2889
170	596	2890
171	600	2891
172	605	2893
173	608	2889
174	612	2885
175	615	2882
176	620	2884
177	625	2886
178	629	2886
179	633	2885
180	640	2896
181	646	2903
182	651	2907
183	654	2902
184	658	2898
185	662	2898
186	667	2900
187	670	2897
188	674	2895
189	679	2896
190	683	2896
191	688	2898
192	694	2905
193	699	2905
194	702	2899
195	705	2893
196	708	2888
197	712	2885
198	716	2884
199	720	2882
200	724	2878
201	728	2876
202	732	2876
203	736	2874
204	741	2876
205	746	2878
206	751	2879
207	755	2875
208	759	2873
209	762	2870
210	765	2864
211	769	2859
212	773	2857
213	776	2852
214	780	2848
215	783	2843
216	786	2838
217	790	2834
218	793	2831
219	797	2828
220	801	2825
221	804	2820
222	808	2815
223	811	2810
224	814	2806
225	818	2801
226	821	2796
227	824	2791
228	828	2787
229	831	2783
230	834	2779
231	838	2775
232	841	2770
233	844	2765
234	847	2759
235	851	2755
236	854	2751
237	858	2749
238	862	2745
239	865	2740
240	870	2740
241	874	2738
242	878	2736
243	883	2736
244	887	2734
245	891	2732
246	896	2731
247	900	2730
248	904	2729
249	909	2729
250	914	2728
251	917	2724
252	922	2722
253	926	2721
254	931	2722
255	937	2723
256	941	2723
257	946	2721
258	952	2725
259	956	2722
260	959	2717
261	963	2713
262	968	2712
263	972	2711
264	977	2709
